Lower layer Super Output Areas Code,Household type (6 categories),Observation
E01000169,Cohabiting couple household,82
E01000169,Lone parent household,94
E01000169,Multi-person household,16
E01000170,Does not apply,0
E01000170,One-person household,165
E01000170,Married or civil partnership couple household,312
E01000170,Cohabiting couple household,85
E01000170,Lone parent household,117
E01000170,Multi-person household,19
E01000171,Does not apply,0
E01000171,One-person household,313
E01000171,Married or civil partnership couple household,309
E01000171,Cohabiting couple household,110
E01000171,Lone parent household,234
E01000171,Multi-person household,32
E01000172,Does not apply,0
E01000172,One-person household,124
E01000172,Married or civil partnership couple household,365
E01000172,Cohabiting couple household,49
E01000172,Lone parent household,55
E01000172,Multi-person household,11
E01000173,Does not apply,0
E01000173,One-person household,120
E01000173,Married or civil partnership couple household,328
E01000173,Cohabiting couple household,49
E01000173,Lone parent household,103
E01000173,Multi-person household,6
E01000174,Does not apply,0
E01000174,One-person household,263
E01000174,Married or civil partnership couple household,269
E01000174,Cohabiting couple household,92
E01000174,Lone parent household,113
E01000174,Multi-person household,25
E01000175,Does not apply,0
E01000175,One-person household,130
E01000175,Married or civil partnership couple household,381
E01000175,Cohabiting couple household,61
E01000175,Lone parent household,56
E01000175,Multi-person household,13
E01000176,Does not apply,0
E01000176,One-person household,270
E01000176,Married or civil partnership couple household,241
E01000176,Cohabiting couple household,50
E01000176,Lone parent household,132
E01000176,Multi-person household,28
E01000177,Does not apply,0
E01000177,One-person household,210
E01000177,Married or civil partnership couple household,276
E01000177,Cohabiting couple household,93
E01000177,Lone parent household,75
E01000177,Multi-person household,36
E01000178,Does not apply,0
E01000178,One-person household,199
E01000178,Married or civil partnership couple household,295
E01000178,Cohabiting couple household,65
E01000178,Lone parent household,86
E01000178,Multi-person household,30
E01000179,Does not apply,0
E01000179,One-person household,236
E01000179,Married or civil partnership couple household,317
E01000179,Cohabiting couple household,113
E01000179,Lone parent household,69
E01000179,Multi-person household,32
E01000180,Does not apply,0
E01000180,One-person household,211
E01000180,Married or civil partnership couple household,234
E01000180,Cohabiting couple household,86
E01000180,Lone parent household,101
E01000180,Multi-person household,36
E01000181,Does not apply,0
E01000181,One-person household,177
E01000181,Married or civil partnership couple household,298
E01000181,Cohabiting couple household,94
E01000181,Lone parent household,58
E01000181,Multi-person household,59
E01000182,Does not apply,0
E01000182,One-person household,243
E01000182,Married or civil partnership couple household,291
E01000182,Cohabiting couple household,98
E01000182,Lone parent household,48
E01000182,Multi-person household,51
E01000183,Does not apply,0
E01000183,One-person household,193
E01000183,Married or civil partnership couple household,269
E01000183,Cohabiting couple household,56
E01000183,Lone parent household,65
E01000183,Multi-person household,20
E01000184,Does not apply,0
E01000184,One-person household,226
E01000184,Married or civil partnership couple household,250
E01000184,Cohabiting couple household,71
E01000184,Lone parent household,131
E01000184,Multi-person household,34
E01000185,Does not apply,0
E01000185,One-person household,241
E01000185,Married or civil partnership couple household,153
E01000185,Cohabiting couple household,64
E01000185,Lone parent household,140
E01000185,Multi-person household,45
E01000186,Does not apply,0
E01000186,One-person household,62
E01000186,Married or civil partnership couple household,391
E01000186,Cohabiting couple household,7
E01000186,Lone parent household,45
E01000186,Multi-person household,4
E01000187,Does not apply,0
E01000187,One-person household,147
E01000187,Married or civil partnership couple household,345
E01000187,Cohabiting couple household,24
E01000187,Lone parent household,71
E01000187,Multi-person household,6
E01000188,Does not apply,0
E01000188,One-person household,72
E01000188,Married or civil partnership couple household,372
E01000188,Cohabiting couple household,14
E01000188,Lone parent household,40
E01000188,Multi-person household,9
E01000189,Does not apply,0
E01000189,One-person household,261
E01000189,Married or civil partnership couple household,393
E01000189,Cohabiting couple household,91
E01000189,Lone parent household,207
E01000189,Multi-person household,27
E01000190,Does not apply,0
E01000190,One-person household,100
E01000190,Married or civil partnership couple household,374
E01000190,Cohabiting couple household,25
E01000190,Lone parent household,62
E01000190,Multi-person household,10
E01000191,Does not apply,0
E01000191,One-person household,134
E01000191,Married or civil partnership couple household,346
E01000191,Cohabiting couple household,15
E01000191,Lone parent household,51
E01000191,Multi-person household,9
E01000192,Does not apply,0
E01000192,One-person household,165
E01000192,Married or civil partnership couple household,389
E01000192,Cohabiting couple household,37
E01000192,Lone parent household,76
E01000192,Multi-person household,43
E01000193,Does not apply,0
E01000193,One-person household,182
E01000193,Married or civil partnership couple household,345
E01000193,Cohabiting couple household,53
E01000193,Lone parent household,94
E01000193,Multi-person household,37
E01000194,Does not apply,0
E01000194,One-person household,189
E01000194,Married or civil partnership couple household,298
E01000194,Cohabiting couple household,49
E01000194,Lone parent household,135
E01000194,Multi-person household,33
E01000195,Does not apply,0
E01000195,One-person household,214
E01000195,Married or civil partnership couple household,285
E01000195,Cohabiting couple household,51
E01000195,Lone parent household,148
E01000195,Multi-person household,23
E01000196,Does not apply,0
E01000196,One-person household,482
E01000196,Married or civil partnership couple household,297
E01000196,Cohabiting couple household,155
E01000196,Lone parent household,85
E01000196,Multi-person household,73
E01000197,Does not apply,0
E01000197,One-person household,195
E01000197,Married or civil partnership couple household,292
E01000197,Cohabiting couple household,103
E01000197,Lone parent household,89
E01000197,Multi-person household,54
E01000198,Does not apply,0
E01000198,One-person household,201
E01000198,Married or civil partnership couple household,429
E01000198,Cohabiting couple household,39
E01000198,Lone parent household,80
E01000198,Multi-person household,30
E01000199,Does not apply,0
E01000199,One-person household,195
E01000199,Married or civil partnership couple household,353
E01000199,Cohabiting couple household,37
E01000199,Lone parent household,50
E01000199,Multi-person household,20
E01000200,Does not apply,0
E01000200,One-person household,322
E01000200,Married or civil partnership couple household,389
E01000200,Cohabiting couple household,61
E01000200,Lone parent household,61
E01000200,Multi-person household,41
E01000201,Does not apply,0
E01000201,One-person household,100
E01000201,Married or civil partnership couple household,361
E01000201,Cohabiting couple household,22
E01000201,Lone parent household,28
E01000201,Multi-person household,15
E01000202,Does not apply,0
E01000202,One-person household,134
E01000202,Married or civil partnership couple household,347
E01000202,Cohabiting couple household,59
E01000202,Lone parent household,51
E01000202,Multi-person household,25
E01000203,Does not apply,0
E01000203,One-person household,158
E01000203,Married or civil partnership couple household,308
E01000203,Cohabiting couple household,36
E01000203,Lone parent household,152
E01000203,Multi-person household,31
E01000204,Does not apply,0
E01000204,One-person household,195
E01000204,Married or civil partnership couple household,351
