Lower layer Super Output Areas Code,Economic activity status (4 categories),Observation
E01000203,Economically active: Unemployed (including full-time students),128
E01000203,Economically inactive,545
E01000204,Does not apply,308
E01000204,Economically active: In employment (including full-time students),851
E01000204,Economically active: Unemployed (including full-time students),48
E01000204,Economically inactive,494
E01000205,Does not apply,342
E01000205,Economically active: In employment (including full-time students),746
E01000205,Economically active: Unemployed (including full-time students),26
E01000205,Economically inactive,393
E01000206,Does not apply,266
E01000206,Economically active: In employment (including full-time students),687
E01000206,Economically active: Unemployed (including full-time students),21
E01000206,Economically inactive,527
E01000207,Does not apply,324
E01000207,Economically active: In employment (including full-time students),665
E01000207,Economically active: Unemployed (including full-time students),35
E01000207,Economically inactive,555
E01000208,Does not apply,322
E01000208,Economically active: In employment (including full-time students),850
E01000208,Economically active: Unemployed (including full-time students),30
E01000208,Economically inactive,427
E01000209,Does not apply,245
E01000209,Economically active: In employment (including full-time students),649
E01000209,Economically active: Unemployed (including full-time students),30
E01000209,Economically inactive,560
E01000210,Does not apply,377
E01000210,Economically active: In employment (including full-time students),777
E01000210,Economically active: Unemployed (including full-time students),39
E01000210,Economically inactive,355
E01000211,Does not apply,404
E01000211,Economically active: In employment (including full-time students),1026
E01000211,Economically active: Unemployed (including full-time students),77
E01000211,Economically inactive,621
E01000212,Does not apply,230
E01000212,Economically active: In employment (including full-time students),676
E01000212,Economically active: Unemployed (including full-time students),27
E01000212,Economically inactive,414
E01000213,Does not apply,320
E01000213,Economically active: In employment (including full-time students),613
E01000213,Economically active: Unemployed (including full-time students),30
E01000213,Economically inactive,388
E01000214,Does not apply,238
E01000214,Economically active: In employment (including full-time students),910
E01000214,Economically active: Unemployed (including full-time students),46
E01000214,Economically inactive,433
E01000215,Does not apply,716
E01000215,Economically active: In employment (including full-time students),796
E01000215,Economically active: Unemployed (including full-time students),37
E01000215,Economically inactive,596
